国家：United States , 年份： 1981, 名称：M2 Bradley
国家：United States , 年份： 1985, 名称：HMMWV (High Mobility Multi-Purpose Wheeled Vehicle) / (Humvee)
国家：United States , 年份： 2002, 名称：General Dynamics Stryker
国家：United Kingdom , 年份： 1998, 名称：Challenger 2 (FV4034)
国家：Soviet Union , 年份： 1987, 名称：BMP-3 (Boyevaya Mashina Pekhoty)
国家：Soviet Union , 年份： 1982, 名称：SA-19 (Grisom) / 2K22 Tunguska
国家：United States , 年份： 1983, 名称：M270 MLRS
国家：United Kingdom , 年份： 1986, 名称：FV510 Warrior
国家：United Kingdom , 年份： 1981, 名称：Alvis FV4333 Stormer
国家：Soviet Union , 年份： 1990, 名称：BMD-3 (Boyevaya Mashina Desanta)
国家：Soviet Union , 年份： 1982, 名称：BMP-2 (Boyevaya Mashina Pekhoty)
国家：Russia , 年份： 2004, 名称：BTR-90
国家：Italy , 年份： 1991, 名称：CIO Centauro
国家：United Kingdom , 年份： 1983, 名称：Challenger 1
国家：United States , 年份： 1983, 名称：LAV-25 (Light Armored Vehicle 25)
国家：United States , 年份： 1986, 名称：M9 ACE (Armored Combat Earthmover)
国家：United States , 年份： 1989, 名称：HMMWV Avenger
国家：India , 年份： 2004, 名称：DRDO Arjun (Lion)
国家：United States , 年份： 1987, 名称：Chenowth Scorpion DPV (Desert Patrol Vehicle)
国家：United States , 年份： 1989, 名称：Rock Island Arsenal M119
国家：France , 年份： 1992, 名称：AMX-56 Leclerc
国家：United States , 年份： 1987, 名称：M981 FIST-V
国家：United States , 年份： 1994, 名称：HMMWV M1114 UAH (Up-Armored Humvee)
国家：United States , 年份： 1990, 名称：M93 Fox
国家：United Kingdom , 年份： 1983, 名称：Land Rover Defender 110
国家：United States , 年份： 1983, 名称：M3 Bradley
国家：South Korea , 年份： 1986, 名称：ROTEM K1 (Type 88)
国家：Italy , 年份： 1992, 名称：Type 6614
国家：United States , 年份： 1998, 名称：Oshkosh Medium Tactical Vehicle Replacement (MTVR)
国家：Soviet Union , 年份： 1988, 名称：SA-12 (Gladiator / Giant) / S-300V
国家：Canada , 年份： 1989, 名称：Oerlikon ADATS
国家：United Kingdom , 年份： 1993, 名称：AS-90 (Gun Equipment 155mm L131)
国家：Russia , 年份： 1995, 名称：T-90
国家：United Kingdom , 年份： 2005, 名称：M777 UFH (Ultra-lightweight Field Howitzer)
国家：Argentina , 年份： 1983, 名称：TAMSE TAM (Tanque Argentino Mediano)
国家：China , 年份： 1985, 名称：NORINCO Type 85-II
国家：China , 年份： 1985, 名称：NORINCO ZTZ-88 (Type 80/85/88)
国家：China , 年份： 1982, 名称：NORINCO Type 69
国家：Croatia , 年份： 1995, 名称：Duro Dakovic M-95 Degman
国家：Iran , 年份： 1996, 名称：DIO Zulfiqar
国家：Italy , 年份： 1995, 名称：CIO Ariete
