国务卿：马克·卢比奥（Marco Rubio）
财政部长：斯科特·贝森特（Scott Bessent）
国防部长：皮特·赫格塞斯（Pete Hegseth） 
司法部长：帕姆·邦迪（Pam Bondi）
内政部长：道格·伯格姆（Doug Burgum）
农业部长：布鲁克·罗林斯（Brooke Rollins）
商务部长：霍华德·卢特尼克（Howard Lutnick）
劳工部长：洛里·查韦斯-德雷默（Lori Chavez-DeRemer）
卫生与公众服务部长：小罗伯特·肯尼迪（Robert F. Kennedy Jr.）
住房和城市发展部长：斯科特·特纳（Scott Turner）
交通部长：肖恩·达菲（Sean Duffy）
能源部长：克里斯·莱特（Chris Wright） 
教育部长：琳达·麦克马洪（Linda McMahon）
退伍军人事务部长：道格·柯林斯（Doug Collins）
国土安全部长：克里斯蒂·诺姆（Kristi Noem）
环境保护局长：李·泽尔丁（Lee Zeldin）
贸易代表：杰米森·格里尔（Jamieson Greer）
国家情报总监：图尔西·加巴德（Tulsi Gabbard）
管理和预算办公室主任：拉塞尔·沃特（Russell T. Vought）
小企业管理局（SBA）局长：凯利·洛夫勒（Kelly Loeffler） 
